"令和2年4月分（5月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和2年3月分～　適用　　　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和2年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（福島県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.0971,,0.115,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5631.8,2815.9,6670,3335,,
2,68000,63000,"～",73000,6602.8,3301.4,7820,3910,,
3,78000,73000,"～",83000,7573.8,3786.9,8970,4485,,
"4（1）",88000,83000,"～",93000,8544.800000000001,4272.400000000001,10120,5060,16104,8052
"5（2）",98000,93000,"～",101000,9515.800000000001,4757.900000000001,11270,5635,17934,8967
"6（3）",104000,101000,"～",107000,10098.400000000001,5049.200000000001,11960,5980,19032,9516
"7（4）",110000,107000,"～",114000,10681,5340.5,12650,6325,20130,10065
"8（5）",118000,114000,"～",122000,11457.800000000001,5728.900000000001,13570,6785,21594,10797
"9（6）",126000,122000,"～",130000,12234.6,6117.3,14490,7245,23058,11529
"10（7）",134000,130000,"～",138000,13011.400000000001,6505.700000000001,15410,7705,24522,12261
"11（8）",142000,138000,"～",146000,13788.2,6894.1,16330,8165,25986,12993
"12（9）",150000,146000,"～",155000,14565,7282.5,17250,8625,27450,13725
"13（10）",160000,155000,"～",165000,15536.000000000002,7768.000000000001,18400,9200,29280,14640
"14（11）",170000,165000,"～",175000,16507,8253.5,19550,9775,31110,15555
"15（12）",180000,175000,"～",185000,17478,8739,20700,10350,32940,16470
"16（13）",190000,185000,"～",195000,18449,9224.5,21850,10925,34770,17385
"17（14）",200000,195000,"～",210000,19420,9710,23000,11500,36600,18300
"18（15）",220000,210000,"～",230000,21362,10681,25300,12650,40260,20130
"19（16）",240000,230000,"～",250000,23304,11652,27600,13800,43920,21960
"20（17）",260000,250000,"～",270000,25246,12623,29900,14950,47580,23790
"21（18）",280000,270000,"～",290000,27188,13594,32200,16100,51240,25620
"22（19）",300000,290000,"～",310000,29130,14565,34500,17250,54900,27450
"23（20）",320000,310000,"～",330000,31072.000000000004,15536.000000000002,36800,18400,58560,29280
"24（21）",340000,330000,"～",350000,33014,16507,39100,19550,62220,31110
"25（22）",360000,350000,"～",370000,34956,17478,41400,20700,65880,32940
"26（23）",380000,370000,"～",395000,36898,18449,43700,21850,69540,34770
"27（24）",410000,395000,"～",425000,39811,19905.5,47150,23575,75030,37515
"28（25）",440000,425000,"～",455000,42724,21362,50600,25300,80520,40260
"29（26）",470000,455000,"～",485000,45637,22818.5,54050,27025,86010,43005
"30（27）",500000,485000,"～",515000,48550,24275,57500,28750,91500,45750
"31（28）",530000,515000,"～",545000,51463,25731.5,60950,30475,96990,48495
"32（29）",560000,545000,"～",575000,54376,27188,64400,32200,102480,51240
"33（30）",590000,575000,"～",605000,57289,28644.5,67850,33925,107970,53985
"34（31）",620000,605000,"～",635000,60202,30101,71300,35650,113460,56730
35,650000,635000,"～",665000,63115.00000000001,31557.500000000004,74750,37375,,
36,680000,665000,"～",695000,66028,33014,78200,39100,"※厚生年金基金に加入している方の",
37,710000,695000,"～",730000,68941,34470.5,81650,40825,"　 厚生年金保険料率は、基金ごとに",
38,750000,730000,"～",770000,72825,36412.5,86250,43125,"　 定められている免除保険料率",
39,790000,770000,"～",810000,76709,38354.5,90850,45425,"   （2.4％～5.0％）を控除した率となり",
40,830000,810000,"～",855000,80593,40296.5,95450,47725,"   ます。",
41,880000,855000,"～",905000,85448,42724,101200,50600,,
42,930000,905000,"～",955000,90303,45151.5,106950,53475,"　 加入する基金ごとに異なりますの",
43,980000,955000,"～",1005000,95158,47579,112700,56350,"　 で、免除保険料率および厚生年金",
44,1030000,1005000,"～",1055000,100013,50006.5,118450,59225,"　 基金の掛金については、加入する",
45,1090000,1055000,"～",1115000,105839,52919.5,125350,62675,"　 厚生年金基金にお問い合わせ",
46,1150000,1115000,"～",1175000,111665,55832.5,132250,66125,"　 ください。",
47,1210000,1175000,"～",1235000,117491,58745.5,139150,69575,,
48,1270000,1235000,"～",1295000,123317.00000000001,61658.50000000001,146050,73025,,
49,1330000,1295000,"～",1355000,129143.00000000001,64571.50000000001,152950,76475,,
50,1390000,1355000,"～",,134969,67484.5,159850,79925,,
,,,,,,,,,,
"◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（9.71%）に介護保険料率（1.79%）が加わります。",,,,,,,,,,
"◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。",,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　34（31）等級の「報酬月額」欄は、厚生年金保険の場合「605,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和２年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、300,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合",,,,,,,,,,
"　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。",,,,,,,,,,
"　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。",,,,,,,,,,
"　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。",,,,,,,,,,
,,,,,,,,,,
"  ○納入告知書の保険料額",,,,,,,,,,
"  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。",,,,,,,,,,
,,,,,,,,,,
"  ○賞与にかかる保険料額",,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
