"令和2年4月分（5月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和2年3月分～　適用　　　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和2年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（滋賀県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.0979,,0.1158,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5678.2,2839.1,6716.4,3358.2,,
2,68000,63000,"～",73000,6657.2,3328.6,7874.4,3937.2,,
3,78000,73000,"～",83000,7636.2,3818.1,9032.4,4516.2,,
"4（1）",88000,83000,"～",93000,8615.2,4307.6,10190.4,5095.2,16104,8052
"5（2）",98000,93000,"～",101000,9594.2,4797.1,11348.4,5674.2,17934,8967
"6（3）",104000,101000,"～",107000,10181.6,5090.8,12043.2,6021.6,19032,9516
"7（4）",110000,107000,"～",114000,10769,5384.5,12738,6369,20130,10065
"8（5）",118000,114000,"～",122000,11552.2,5776.1,13664.4,6832.2,21594,10797
"9（6）",126000,122000,"～",130000,12335.4,6167.7,14590.8,7295.4,23058,11529
"10（7）",134000,130000,"～",138000,13118.6,6559.3,15517.2,7758.6,24522,12261
"11（8）",142000,138000,"～",146000,13901.8,6950.9,16443.6,8221.8,25986,12993
"12（9）",150000,146000,"～",155000,14685,7342.5,17370,8685,27450,13725
"13（10）",160000,155000,"～",165000,15664,7832,18528,9264,29280,14640
"14（11）",170000,165000,"～",175000,16643,8321.5,19686,9843,31110,15555
"15（12）",180000,175000,"～",185000,17622,8811,20844,10422,32940,16470
"16（13）",190000,185000,"～",195000,18601,9300.5,22002,11001,34770,17385
"17（14）",200000,195000,"～",210000,19580,9790,23160,11580,36600,18300
"18（15）",220000,210000,"～",230000,21538,10769,25476,12738,40260,20130
"19（16）",240000,230000,"～",250000,23496,11748,27792,13896,43920,21960
"20（17）",260000,250000,"～",270000,25454,12727,30108,15054,47580,23790
"21（18）",280000,270000,"～",290000,27412,13706,32424,16212,51240,25620
"22（19）",300000,290000,"～",310000,29370,14685,34740,17370,54900,27450
"23（20）",320000,310000,"～",330000,31328,15664,37056,18528,58560,29280
"24（21）",340000,330000,"～",350000,33286,16643,39372,19686,62220,31110
"25（22）",360000,350000,"～",370000,35244,17622,41688,20844,65880,32940
"26（23）",380000,370000,"～",395000,37202,18601,44004,22002,69540,34770
"27（24）",410000,395000,"～",425000,40139,20069.5,47478,23739,75030,37515
"28（25）",440000,425000,"～",455000,43076,21538,50952,25476,80520,40260
"29（26）",470000,455000,"～",485000,46013,23006.5,54426,27213,86010,43005
"30（27）",500000,485000,"～",515000,48950,24475,57900,28950,91500,45750
"31（28）",530000,515000,"～",545000,51887,25943.5,61374,30687,96990,48495
"32（29）",560000,545000,"～",575000,54824,27412,64848,32424,102480,51240
"33（30）",590000,575000,"～",605000,57761,28880.5,68322,34161,107970,53985
"34（31）",620000,605000,"～",635000,60698,30349,71796,35898,113460,56730
35,650000,635000,"～",665000,63635,31817.5,75270,37635,,
36,680000,665000,"～",695000,66572,33286,78744,39372,"※厚生年金基金に加入している方の",
37,710000,695000,"～",730000,69509,34754.5,82218,41109,"　 厚生年金保険料率は、基金ごとに",
38,750000,730000,"～",770000,73425,36712.5,86850,43425,"　 定められている免除保険料率",
39,790000,770000,"～",810000,77341,38670.5,91482,45741,"   （2.4％～5.0％）を控除した率となり",
40,830000,810000,"～",855000,81257,40628.5,96114,48057,"   ます。",
41,880000,855000,"～",905000,86152,43076,101904,50952,,
42,930000,905000,"～",955000,91047,45523.5,107694,53847,"　 加入する基金ごとに異なりますの",
43,980000,955000,"～",1005000,95942,47971,113484,56742,"　 で、免除保険料率および厚生年金",
44,1030000,1005000,"～",1055000,100837,50418.5,119274,59637,"　 基金の掛金については、加入する",
45,1090000,1055000,"～",1115000,106711,53355.5,126222,63111,"　 厚生年金基金にお問い合わせ",
46,1150000,1115000,"～",1175000,112585,56292.5,133170,66585,"　 ください。",
47,1210000,1175000,"～",1235000,118459,59229.5,140118,70059,,
48,1270000,1235000,"～",1295000,124333,62166.5,147066,73533,,
49,1330000,1295000,"～",1355000,130207,65103.5,154014,77007,,
50,1390000,1355000,"～",,136081,68040.5,160962,80481,,
,,,,,,,,,,
"◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（9.79%）に介護保険料率（1.79%）が加わります。",,,,,,,,,,
"◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。",,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　34（31）等級の「報酬月額」欄は、厚生年金保険の場合「605,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和２年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、300,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合",,,,,,,,,,
"　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。",,,,,,,,,,
"　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。",,,,,,,,,,
"　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。",,,,,,,,,,
,,,,,,,,,,
"  ○納入告知書の保険料額",,,,,,,,,,
"  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。",,,,,,,,,,
,,,,,,,,,,
"  ○賞与にかかる保険料額",,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
"  　また、標準賞与額の上限は、健康保険は年間573万円（毎年4月1日から翌年3月31日までの累計額。）となり、厚生年金保険と子ども・子育て拠出金の場合は",,,,,,,,,,
