"令和2年4月分（5月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和2年3月分～　適用　　　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和2年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（和歌山県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1014,,0.1193,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5881.2,2940.6,6919.400000000001,3459.7000000000003,,
2,68000,63000,"～",73000,6895.200000000001,3447.6000000000004,8112.400000000001,4056.2000000000003,,
3,78000,73000,"～",83000,7909.200000000001,3954.6000000000004,9305.4,4652.7,,
"4（1）",88000,83000,"～",93000,8923.2,4461.6,10498.4,5249.2,16104,8052
"5（2）",98000,93000,"～",101000,9937.2,4968.6,11691.4,5845.7,17934,8967
"6（3）",104000,101000,"～",107000,10545.6,5272.8,12407.2,6203.6,19032,9516
"7（4）",110000,107000,"～",114000,11154,5577,13123,6561.5,20130,10065
"8（5）",118000,114000,"～",122000,11965.2,5982.6,14077.4,7038.7,21594,10797
"9（6）",126000,122000,"～",130000,12776.4,6388.2,15031.800000000001,7515.900000000001,23058,11529
"10（7）",134000,130000,"～",138000,13587.6,6793.8,15986.2,7993.1,24522,12261
"11（8）",142000,138000,"～",146000,14398.800000000001,7199.400000000001,16940.600000000002,8470.300000000001,25986,12993
"12（9）",150000,146000,"～",155000,15210,7605,17895,8947.5,27450,13725
"13（10）",160000,155000,"～",165000,16224,8112,19088,9544,29280,14640
"14（11）",170000,165000,"～",175000,17238,8619,20281,10140.5,31110,15555
"15（12）",180000,175000,"～",185000,18252,9126,21474,10737,32940,16470
"16（13）",190000,185000,"～",195000,19266,9633,22667,11333.5,34770,17385
"17（14）",200000,195000,"～",210000,20280,10140,23860,11930,36600,18300
"18（15）",220000,210000,"～",230000,22308,11154,26246,13123,40260,20130
"19（16）",240000,230000,"～",250000,24336,12168,28632,14316,43920,21960
"20（17）",260000,250000,"～",270000,26364,13182,31018,15509,47580,23790
"21（18）",280000,270000,"～",290000,28392,14196,33404,16702,51240,25620
"22（19）",300000,290000,"～",310000,30420,15210,35790,17895,54900,27450
"23（20）",320000,310000,"～",330000,32448,16224,38176,19088,58560,29280
"24（21）",340000,330000,"～",350000,34476,17238,40562,20281,62220,31110
"25（22）",360000,350000,"～",370000,36504,18252,42948,21474,65880,32940
"26（23）",380000,370000,"～",395000,38532,19266,45334,22667,69540,34770
"27（24）",410000,395000,"～",425000,41574,20787,48913,24456.5,75030,37515
"28（25）",440000,425000,"～",455000,44616,22308,52492,26246,80520,40260
"29（26）",470000,455000,"～",485000,47658,23829,56071,28035.5,86010,43005
"30（27）",500000,485000,"～",515000,50700,25350,59650,29825,91500,45750
"31（28）",530000,515000,"～",545000,53742,26871,63229,31614.5,96990,48495
"32（29）",560000,545000,"～",575000,56784,28392,66808,33404,102480,51240
"33（30）",590000,575000,"～",605000,59826,29913,70387,35193.5,107970,53985
"34（31）",620000,605000,"～",635000,62868,31434,73966,36983,113460,56730
35,650000,635000,"～",665000,65910,32955,77545,38772.5,,
36,680000,665000,"～",695000,68952,34476,81124,40562,"※厚生年金基金に加入している方の",
37,710000,695000,"～",730000,71994,35997,84703,42351.5,"　 厚生年金保険料率は、基金ごとに",
38,750000,730000,"～",770000,76050,38025,89475,44737.5,"　 定められている免除保険料率",
39,790000,770000,"～",810000,80106,40053,94247,47123.5,"   （2.4％～5.0％）を控除した率となり",
40,830000,810000,"～",855000,84162,42081,99019,49509.5,"   ます。",
41,880000,855000,"～",905000,89232,44616,104984,52492,,
42,930000,905000,"～",955000,94302,47151,110949,55474.5,"　 加入する基金ごとに異なりますの",
43,980000,955000,"～",1005000,99372,49686,116914,58457,"　 で、免除保険料率および厚生年金",
44,1030000,1005000,"～",1055000,104442,52221,122879,61439.5,"　 基金の掛金については、加入する",
45,1090000,1055000,"～",1115000,110526,55263,130037,65018.5,"　 厚生年金基金にお問い合わせ",
46,1150000,1115000,"～",1175000,116610,58305,137195,68597.5,"　 ください。",
47,1210000,1175000,"～",1235000,122694,61347,144353,72176.5,,
48,1270000,1235000,"～",1295000,128778,64389,151511,75755.5,,
49,1330000,1295000,"～",1355000,134862,67431,158669,79334.5,,
50,1390000,1355000,"～",,140946,70473,165827,82913.5,,
,,,,,,,,,,
"◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（10.14%）に介護保険料率（1.79%）が加わります。",,,,,,,,,,
"◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。",,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　34（31）等級の「報酬月額」欄は、厚生年金保険の場合「605,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和２年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、300,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合",,,,,,,,,,
"　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。",,,,,,,,,,
"　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。",,,,,,,,,,
"　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。",,,,,,,,,,
,,,,,,,,,,
"  ○納入告知書の保険料額",,,,,,,,,,
"  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。",,,,,,,,,,
,,,,,,,,,,
"  ○賞与にかかる保険料額",,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
