"令和３年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和3年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和3年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（北海道）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1045,,0.1225,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,6061,3030.5,7105,3552.5,,
2,68000,63000,"～",73000,7106,3553,8330,4165,,
3,78000,73000,"～",83000,8151,4075.5,9555,4777.5,,
"4（1）",88000,83000,"～",93000,9196,4598,10780,5390,16104,8052
"5（2）",98000,93000,"～",101000,10241,5120.5,12005,6002.5,17934,8967
"6（3）",104000,101000,"～",107000,10868,5434,12740,6370,19032,9516
"7（4）",110000,107000,"～",114000,11495,5747.5,13475,6737.5,20130,10065
"8（5）",118000,114000,"～",122000,12331,6165.5,14455,7227.5,21594,10797
"9（6）",126000,122000,"～",130000,13167,6583.5,15435,7717.5,23058,11529
"10（7）",134000,130000,"～",138000,14003,7001.5,16415,8207.5,24522,12261
"11（8）",142000,138000,"～",146000,14839,7419.5,17395,8697.5,25986,12993
"12（9）",150000,146000,"～",155000,15675,7837.5,18375,9187.5,27450,13725
"13（10）",160000,155000,"～",165000,16720,8360,19600,9800,29280,14640
"14（11）",170000,165000,"～",175000,17765,8882.5,20825,10412.5,31110,15555
"15（12）",180000,175000,"～",185000,18810,9405,22050,11025,32940,16470
