"令和３年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和3年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和3年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（宮城県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1001,,0.1181,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5805.799999999999,2902.8999999999996,6849.8,3424.9,,
2,68000,63000,"～",73000,6806.799999999999,3403.3999999999996,8030.8,4015.4,,
3,78000,73000,"～",83000,7807.799999999999,3903.8999999999996,9211.8,4605.9,,
"4（1）",88000,83000,"～",93000,8808.8,4404.4,10392.8,5196.4,16104,8052
"5（2）",98000,93000,"～",101000,9809.8,4904.9,11573.8,5786.9,17934,8967
"6（3）",104000,101000,"～",107000,10410.4,5205.2,12282.4,6141.2,19032,9516
"7（4）",110000,107000,"～",114000,11011,5505.5,12991,6495.5,20130,10065
"8（5）",118000,114000,"～",122000,11811.8,5905.9,13935.8,6967.9,21594,10797
"9（6）",126000,122000,"～",130000,12612.599999999999,6306.299999999999,14880.6,7440.3,23058,11529
"10（7）",134000,130000,"～",138000,13413.4,6706.7,15825.4,7912.7,24522,12261
"11（8）",142000,138000,"～",146000,14214.199999999999,7107.099999999999,16770.2,8385.1,25986,12993
"12（9）",150000,146000,"～",155000,15015,7507.5,17715,8857.5,27450,13725
"13（10）",160000,155000,"～",165000,16016,8008,18896,9448,29280,14640
