"令和４年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和4年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和4年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（高知県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.10300000000000001,,0.1194,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5974.000000000001,2987.0000000000005,6925.200000000001,3462.6000000000004,,
2,68000,63000,"～",73000,7004.000000000001,3502.0000000000005,8119.200000000001,4059.6000000000004,,
3,78000,73000,"～",83000,8034.000000000001,4017.0000000000005,9313.2,4656.6,,
"4（1）",88000,83000,"～",93000,9064,4532,10507.2,5253.6,16104,8052
"5（2）",98000,93000,"～",101000,10094,5047,11701.2,5850.6,17934,8967
"6（3）",104000,101000,"～",107000,10712,5356,12417.6,6208.8,19032,9516
"7（4）",110000,107000,"～",114000,11330,5665,13134,6567,20130,10065
"8（5）",118000,114000,"～",122000,12154.000000000002,6077.000000000001,14089.2,7044.6,21594,10797
"9（6）",126000,122000,"～",130000,12978.000000000002,6489.000000000001,15044.400000000001,7522.200000000001,23058,11529
"10（7）",134000,130000,"～",138000,13802.000000000002,6901.000000000001,15999.6,7999.8,24522,12261
"11（8）",142000,138000,"～",146000,14626.000000000002,7313.000000000001,16954.8,8477.4,25986,12993
"12（9）",150000,146000,"～",155000,15450.000000000002,7725.000000000001,17910,8955,27450,13725
"13（10）",160000,155000,"～",165000,16480,8240,19104,9552,29280,14640
"14（11）",170000,165000,"～",175000,17510,8755,20298,10149,31110,15555
"15（12）",180000,175000,"～",185000,18540,9270,21492,10746,32940,16470
"16（13）",190000,185000,"～",195000,19570,9785,22686,11343,34770,17385
"17（14）",200000,195000,"～",210000,20600,10300,23880,11940,36600,18300
"18（15）",220000,210000,"～",230000,22660,11330,26268,13134,40260,20130
"19（16）",240000,230000,"～",250000,24720.000000000004,12360.000000000002,28656,14328,43920,21960
"20（17）",260000,250000,"～",270000,26780.000000000004,13390.000000000002,31044,15522,47580,23790
"21（18）",280000,270000,"～",290000,28840.000000000004,14420.000000000002,33432,16716,51240,25620
"22（19）",300000,290000,"～",310000,30900.000000000004,15450.000000000002,35820,17910,54900,27450
"23（20）",320000,310000,"～",330000,32960,16480,38208,19104,58560,29280
"24（21）",340000,330000,"～",350000,35020,17510,40596,20298,62220,31110
"25（22）",360000,350000,"～",370000,37080,18540,42984,21492,65880,32940
"26（23）",380000,370000,"～",395000,39140,19570,45372,22686,69540,34770
"27（24）",410000,395000,"～",425000,42230,21115,48954,24477,75030,37515
"28（25）",440000,425000,"～",455000,45320,22660,52536,26268,80520,40260
