"令和４年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和4年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和4年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（新潟県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.0951,,0.1115,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5515.8,2757.9,6467,3233.5,,
2,68000,63000,"～",73000,6466.8,3233.4,7582,3791,,
3,78000,73000,"～",83000,7417.8,3708.9,8697,4348.5,,
"4（1）",88000,83000,"～",93000,8368.800000000001,4184.400000000001,9812,4906,16104,8052
"5（2）",98000,93000,"～",101000,9319.800000000001,4659.900000000001,10927,5463.5,17934,8967
"6（3）",104000,101000,"～",107000,9890.4,4945.2,11596,5798,19032,9516
"7（4）",110000,107000,"～",114000,10461,5230.5,12265,6132.5,20130,10065
"8（5）",118000,114000,"～",122000,11221.800000000001,5610.900000000001,13157,6578.5,21594,10797
"9（6）",126000,122000,"～",130000,11982.6,5991.3,14049,7024.5,23058,11529
"10（7）",134000,130000,"～",138000,12743.4,6371.7,14941,7470.5,24522,12261
"11（8）",142000,138000,"～",146000,13504.2,6752.1,15833,7916.5,25986,12993
"12（9）",150000,146000,"～",155000,14265,7132.5,16725,8362.5,27450,13725
"13（10）",160000,155000,"～",165000,15216,7608,17840,8920,29280,14640
"14（11）",170000,165000,"～",175000,16167,8083.5,18955,9477.5,31110,15555
"15（12）",180000,175000,"～",185000,17118,8559,20070,10035,32940,16470
"16（13）",190000,185000,"～",195000,18069,9034.5,21185,10592.5,34770,17385
"17（14）",200000,195000,"～",210000,19020,9510,22300,11150,36600,18300
"18（15）",220000,210000,"～",230000,20922,10461,24530,12265,40260,20130
"19（16）",240000,230000,"～",250000,22824,11412,26760,13380,43920,21960
"20（17）",260000,250000,"～",270000,24726,12363,28990,14495,47580,23790
"21（18）",280000,270000,"～",290000,26628,13314,31220,15610,51240,25620
"22（19）",300000,290000,"～",310000,28530,14265,33450,16725,54900,27450
"23（20）",320000,310000,"～",330000,30432,15216,35680,17840,58560,29280
"24（21）",340000,330000,"～",350000,32334,16167,37910,18955,62220,31110
"25（22）",360000,350000,"～",370000,34236,17118,40140,20070,65880,32940
"26（23）",380000,370000,"～",395000,36138,18069,42370,21185,69540,34770
"27（24）",410000,395000,"～",425000,38991,19495.5,45715,22857.5,75030,37515
"28（25）",440000,425000,"～",455000,41844,20922,49060,24530,80520,40260
"29（26）",470000,455000,"～",485000,44697,22348.5,52405,26202.5,86010,43005
"30（27）",500000,485000,"～",515000,47550,23775,55750,27875,91500,45750
"31（28）",530000,515000,"～",545000,50403,25201.5,59095,29547.5,96990,48495
