"令和４年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和4年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和4年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（島根県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1035,,0.11989999999999999,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,6003,3001.5,6954.2,3477.1,,
2,68000,63000,"～",73000,7038,3519,8153.2,4076.6,,
3,78000,73000,"～",83000,8073,4036.5,9352.199999999999,4676.099999999999,,
"4（1）",88000,83000,"～",93000,9108,4554,10551.199999999999,5275.599999999999,16104,8052
"5（2）",98000,93000,"～",101000,10143,5071.5,11750.199999999999,5875.099999999999,17934,8967
"6（3）",104000,101000,"～",107000,10764,5382,12469.599999999999,6234.799999999999,19032,9516
"7（4）",110000,107000,"～",114000,11385,5692.5,13189,6594.5,20130,10065
"8（5）",118000,114000,"～",122000,12213,6106.5,14148.199999999999,7074.099999999999,21594,10797
"9（6）",126000,122000,"～",130000,13041,6520.5,15107.4,7553.7,23058,11529
"10（7）",134000,130000,"～",138000,13869,6934.5,16066.599999999999,8033.299999999999,24522,12261
"11（8）",142000,138000,"～",146000,14697,7348.5,17025.8,8512.9,25986,12993
"12（9）",150000,146000,"～",155000,15525,7762.5,17985,8992.5,27450,13725
"13（10）",160000,155000,"～",165000,16560,8280,19184,9592,29280,14640
"14（11）",170000,165000,"～",175000,17595,8797.5,20383,10191.5,31110,15555
"15（12）",180000,175000,"～",185000,18630,9315,21582,10791,32940,16470
"16（13）",190000,185000,"～",195000,19665,9832.5,22781,11390.5,34770,17385
"17（14）",200000,195000,"～",210000,20700,10350,23980,11990,36600,18300
"18（15）",220000,210000,"～",230000,22770,11385,26378,13189,40260,20130
"19（16）",240000,230000,"～",250000,24840,12420,28776,14388,43920,21960
"20（17）",260000,250000,"～",270000,26910,13455,31173.999999999996,15586.999999999998,47580,23790
"21（18）",280000,270000,"～",290000,28980,14490,33572,16786,51240,25620
"22（19）",300000,290000,"～",310000,31050,15525,35970,17985,54900,27450
"23（20）",320000,310000,"～",330000,33120,16560,38368,19184,58560,29280
"24（21）",340000,330000,"～",350000,35190,17595,40766,20383,62220,31110
"25（22）",360000,350000,"～",370000,37260,18630,43164,21582,65880,32940
"26（23）",380000,370000,"～",395000,39330,19665,45562,22781,69540,34770
"27（24）",410000,395000,"～",425000,42435,21217.5,49159,24579.5,75030,37515
"28（25）",440000,425000,"～",455000,45540,22770,52756,26378,80520,40260
"29（26）",470000,455000,"～",485000,48645,24322.5,56353,28176.5,86010,43005
"30（27）",500000,485000,"～",515000,51750,25875,59949.99999999999,29974.999999999996,91500,45750
