"令和４年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和4年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和4年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（栃木県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.099,,0.1154,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5742,2871,6693.2,3346.6,,
2,68000,63000,"～",73000,6732,3366,7847.2,3923.6,,
3,78000,73000,"～",83000,7722,3861,9001.2,4500.6,,
"4（1）",88000,83000,"～",93000,8712,4356,10155.2,5077.6,16104,8052
"5（2）",98000,93000,"～",101000,9702,4851,11309.2,5654.6,17934,8967
"6（3）",104000,101000,"～",107000,10296,5148,12001.6,6000.8,19032,9516
"7（4）",110000,107000,"～",114000,10890,5445,12694,6347,20130,10065
"8（5）",118000,114000,"～",122000,11682,5841,13617.2,6808.6,21594,10797
"9（6）",126000,122000,"～",130000,12474,6237,14540.4,7270.2,23058,11529
"10（7）",134000,130000,"～",138000,13266,6633,15463.6,7731.8,24522,12261
"11（8）",142000,138000,"～",146000,14058,7029,16386.8,8193.4,25986,12993
"12（9）",150000,146000,"～",155000,14850,7425,17310,8655,27450,13725
"13（10）",160000,155000,"～",165000,15840,7920,18464,9232,29280,14640
"14（11）",170000,165000,"～",175000,16830,8415,19618,9809,31110,15555
"15（12）",180000,175000,"～",185000,17820,8910,20772,10386,32940,16470
"16（13）",190000,185000,"～",195000,18810,9405,21926,10963,34770,17385
"17（14）",200000,195000,"～",210000,19800,9900,23080,11540,36600,18300
"18（15）",220000,210000,"～",230000,21780,10890,25388,12694,40260,20130
"19（16）",240000,230000,"～",250000,23760,11880,27696,13848,43920,21960
"20（17）",260000,250000,"～",270000,25740,12870,30004,15002,47580,23790
"21（18）",280000,270000,"～",290000,27720,13860,32312,16156,51240,25620
"22（19）",300000,290000,"～",310000,29700,14850,34620,17310,54900,27450
"23（20）",320000,310000,"～",330000,31680,15840,36928,18464,58560,29280
"24（21）",340000,330000,"～",350000,33660,16830,39236,19618,62220,31110
"25（22）",360000,350000,"～",370000,35640,17820,41544,20772,65880,32940
"26（23）",380000,370000,"～",395000,37620,18810,43852,21926,69540,34770
"27（24）",410000,395000,"～",425000,40590,20295,47314,23657,75030,37515
"28（25）",440000,425000,"～",455000,43560,21780,50776,25388,80520,40260
"29（26）",470000,455000,"～",485000,46530,23265,54238,27119,86010,43005
"30（27）",500000,485000,"～",515000,49500,24750,57700,28850,91500,45750
"31（28）",530000,515000,"～",545000,52470,26235,61162,30581,96990,48495
"32（29）",560000,545000,"～",575000,55440,27720,64624,32312,102480,51240
