"令和４年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和4年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和4年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（東京都）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.0981,,0.1145,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5689.8,2844.9,6641,3320.5,,
2,68000,63000,"～",73000,6670.8,3335.4,7786,3893,,
3,78000,73000,"～",83000,7651.8,3825.9,8931,4465.5,,
"4（1）",88000,83000,"～",93000,8632.800000000001,4316.400000000001,10076,5038,16104,8052
"5（2）",98000,93000,"～",101000,9613.800000000001,4806.900000000001,11221,5610.5,17934,8967
"6（3）",104000,101000,"～",107000,10202.400000000001,5101.200000000001,11908,5954,19032,9516
"7（4）",110000,107000,"～",114000,10791,5395.5,12595,6297.5,20130,10065
"8（5）",118000,114000,"～",122000,11575.800000000001,5787.900000000001,13511,6755.5,21594,10797
"9（6）",126000,122000,"～",130000,12360.6,6180.3,14427,7213.5,23058,11529
"10（7）",134000,130000,"～",138000,13145.400000000001,6572.700000000001,15343,7671.5,24522,12261
"11（8）",142000,138000,"～",146000,13930.2,6965.1,16259,8129.5,25986,12993
"12（9）",150000,146000,"～",155000,14715.000000000002,7357.500000000001,17175,8587.5,27450,13725
"13（10）",160000,155000,"～",165000,15696.000000000002,7848.000000000001,18320,9160,29280,14640
"14（11）",170000,165000,"～",175000,16677,8338.5,19465,9732.5,31110,15555
"15（12）",180000,175000,"～",185000,17658,8829,20610,10305,32940,16470
"16（13）",190000,185000,"～",195000,18639,9319.5,21755,10877.5,34770,17385
"17（14）",200000,195000,"～",210000,19620,9810,22900,11450,36600,18300
"18（15）",220000,210000,"～",230000,21582,10791,25190,12595,40260,20130
"19（16）",240000,230000,"～",250000,23544,11772,27480,13740,43920,21960
"20（17）",260000,250000,"～",270000,25506,12753,29770,14885,47580,23790
"21（18）",280000,270000,"～",290000,27468.000000000004,13734.000000000002,32060,16030,51240,25620
"22（19）",300000,290000,"～",310000,29430.000000000004,14715.000000000002,34350,17175,54900,27450
"23（20）",320000,310000,"～",330000,31392.000000000004,15696.000000000002,36640,18320,58560,29280
"24（21）",340000,330000,"～",350000,33354,16677,38930,19465,62220,31110
"25（22）",360000,350000,"～",370000,35316,17658,41220,20610,65880,32940
"26（23）",380000,370000,"～",395000,37278,18639,43510,21755,69540,34770
"27（24）",410000,395000,"～",425000,40221,20110.5,46945,23472.5,75030,37515
"28（25）",440000,425000,"～",455000,43164,21582,50380,25190,80520,40260
"29（26）",470000,455000,"～",485000,46107,23053.5,53815,26907.5,86010,43005
