"令和5年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和5年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和5年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（千葉県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.0987,,0.1169,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5724.599999999999,2862.2999999999997,6780.2,3390.1,,
2,68000,63000,"～",73000,6711.599999999999,3355.7999999999997,7949.2,3974.6,,
3,78000,73000,"～",83000,7698.599999999999,3849.2999999999997,9118.2,4559.1,,
"4（1）",88000,83000,"～",93000,8685.6,4342.8,10287.2,5143.6,16104,8052
"5（2）",98000,93000,"～",101000,9672.6,4836.3,11456.2,5728.1,17934,8967
"6（3）",104000,101000,"～",107000,10264.8,5132.4,12157.6,6078.8,19032,9516
"7（4）",110000,107000,"～",114000,10857,5428.5,12859,6429.5,20130,10065
"8（5）",118000,114000,"～",122000,11646.6,5823.3,13794.2,6897.1,21594,10797
"9（6）",126000,122000,"～",130000,12436.199999999999,6218.099999999999,14729.4,7364.7,23058,11529
"10（7）",134000,130000,"～",138000,13225.8,6612.9,15664.6,7832.3,24522,12261
"11（8）",142000,138000,"～",146000,14015.4,7007.7,16599.8,8299.9,25986,12993
"12（9）",150000,146000,"～",155000,14805,7402.5,17535,8767.5,27450,13725
"13（10）",160000,155000,"～",165000,15792,7896,18704,9352,29280,14640
"14（11）",170000,165000,"～",175000,16779,8389.5,19873,9936.5,31110,15555
"15（12）",180000,175000,"～",185000,17766,8883,21042,10521,32940,16470
"16（13）",190000,185000,"～",195000,18753,9376.5,22211,11105.5,34770,17385
"17（14）",200000,195000,"～",210000,19740,9870,23380,11690,36600,18300
"18（15）",220000,210000,"～",230000,21714,10857,25718,12859,40260,20130
"19（16）",240000,230000,"～",250000,23688,11844,28056,14028,43920,21960
"20（17）",260000,250000,"～",270000,25662,12831,30394,15197,47580,23790
"21（18）",280000,270000,"～",290000,27636,13818,32732,16366,51240,25620
"22（19）",300000,290000,"～",310000,29610,14805,35070,17535,54900,27450
"23（20）",320000,310000,"～",330000,31584,15792,37408,18704,58560,29280
"24（21）",340000,330000,"～",350000,33558,16779,39746,19873,62220,31110
