"令和5年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和5年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和5年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（福岡県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1036,,0.12179999999999999,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,6008.8,3004.4,7064.4,3532.2,,
2,68000,63000,"～",73000,7044.8,3522.4,8282.4,4141.2,,
3,78000,73000,"～",83000,8080.8,4040.4,9500.4,4750.2,,
"4（1）",88000,83000,"～",93000,9116.8,4558.4,10718.4,5359.2,16104,8052
"5（2）",98000,93000,"～",101000,10152.8,5076.4,11936.4,5968.2,17934,8967
"6（3）",104000,101000,"～",107000,10774.4,5387.2,12667.199999999999,6333.599999999999,19032,9516
"7（4）",110000,107000,"～",114000,11396,5698,13397.999999999998,6698.999999999999,20130,10065
"8（5）",118000,114000,"～",122000,12224.8,6112.4,14372.4,7186.2,21594,10797
"9（6）",126000,122000,"～",130000,13053.6,6526.8,15346.8,7673.4,23058,11529
"10（7）",134000,130000,"～",138000,13882.4,6941.2,16321.199999999999,8160.599999999999,24522,12261
"11（8）",142000,138000,"～",146000,14711.199999999999,7355.599999999999,17295.6,8647.8,25986,12993
"12（9）",150000,146000,"～",155000,15540,7770,18270,9135,27450,13725
"13（10）",160000,155000,"～",165000,16576,8288,19488,9744,29280,14640
"14（11）",170000,165000,"～",175000,17612,8806,20706,10353,31110,15555
"15（12）",180000,175000,"～",185000,18648,9324,21924,10962,32940,16470
"16（13）",190000,185000,"～",195000,19684,9842,23142,11571,34770,17385
"17（14）",200000,195000,"～",210000,20720,10360,24360,12180,36600,18300
"18（15）",220000,210000,"～",230000,22792,11396,26795.999999999996,13397.999999999998,40260,20130
"19（16）",240000,230000,"～",250000,24864,12432,29231.999999999996,14615.999999999998,43920,21960
"20（17）",260000,250000,"～",270000,26936,13468,31667.999999999996,15833.999999999998,47580,23790
"21（18）",280000,270000,"～",290000,29008,14504,34104,17052,51240,25620
"22（19）",300000,290000,"～",310000,31080,15540,36540,18270,54900,27450
"23（20）",320000,310000,"～",330000,33152,16576,38976,19488,58560,29280
