"令和5年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和5年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和5年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（石川県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.0966,,0.11480000000000001,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5602.8,2801.4,6658.400000000001,3329.2000000000003,,
2,68000,63000,"～",73000,6568.8,3284.4,7806.400000000001,3903.2000000000003,,
3,78000,73000,"～",83000,7534.8,3767.4,8954.400000000001,4477.200000000001,,
"4（1）",88000,83000,"～",93000,8500.800000000001,4250.400000000001,10102.400000000001,5051.200000000001,16104,8052
"5（2）",98000,93000,"～",101000,9466.800000000001,4733.400000000001,11250.400000000001,5625.200000000001,17934,8967
"6（3）",104000,101000,"～",107000,10046.400000000001,5023.200000000001,11939.2,5969.6,19032,9516
"7（4）",110000,107000,"～",114000,10626,5313,12628.000000000002,6314.000000000001,20130,10065
"8（5）",118000,114000,"～",122000,11398.800000000001,5699.400000000001,13546.400000000001,6773.200000000001,21594,10797
"9（6）",126000,122000,"～",130000,12171.6,6085.8,14464.800000000001,7232.400000000001,23058,11529
"10（7）",134000,130000,"～",138000,12944.400000000001,6472.200000000001,15383.200000000003,7691.600000000001,24522,12261
"11（8）",142000,138000,"～",146000,13717.2,6858.6,16301.600000000002,8150.800000000001,25986,12993
"12（9）",150000,146000,"～",155000,14490,7245,17220.000000000004,8610.000000000002,27450,13725
"13（10）",160000,155000,"～",165000,15456,7728,18368.000000000004,9184.000000000002,29280,14640
"14（11）",170000,165000,"～",175000,16422,8211,19516.000000000004,9758.000000000002,31110,15555
"15（12）",180000,175000,"～",185000,17388,8694,20664.000000000004,10332.000000000002,32940,16470
"16（13）",190000,185000,"～",195000,18354,9177,21812.000000000004,10906.000000000002,34770,17385
"17（14）",200000,195000,"～",210000,19320,9660,22960.000000000004,11480.000000000002,36600,18300
"18（15）",220000,210000,"～",230000,21252,10626,25256.000000000004,12628.000000000002,40260,20130
"19（16）",240000,230000,"～",250000,23184,11592,27552.000000000004,13776.000000000002,43920,21960
"20（17）",260000,250000,"～",270000,25116,12558,29848.000000000004,14924.000000000002,47580,23790
