"令和5年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和5年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和5年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（鹿児島県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1026,,0.12079999999999999,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5950.8,2975.4,7006.4,3503.2,,
2,68000,63000,"～",73000,6976.8,3488.4,8214.4,4107.2,,
3,78000,73000,"～",83000,8002.8,4001.4,9422.4,4711.2,,
"4（1）",88000,83000,"～",93000,9028.8,4514.4,10630.4,5315.2,16104,8052
"5（2）",98000,93000,"～",101000,10054.8,5027.4,11838.4,5919.2,17934,8967
"6（3）",104000,101000,"～",107000,10670.4,5335.2,12563.199999999999,6281.599999999999,19032,9516
"7（4）",110000,107000,"～",114000,11286,5643,13287.999999999998,6643.999999999999,20130,10065
"8（5）",118000,114000,"～",122000,12106.8,6053.4,14254.4,7127.2,21594,10797
"9（6）",126000,122000,"～",130000,12927.6,6463.8,15220.8,7610.4,23058,11529
"10（7）",134000,130000,"～",138000,13748.4,6874.2,16187.199999999999,8093.599999999999,24522,12261
"11（8）",142000,138000,"～",146000,14569.199999999999,7284.599999999999,17153.6,8576.8,25986,12993
"12（9）",150000,146000,"～",155000,15390,7695,18120,9060,27450,13725
"13（10）",160000,155000,"～",165000,16416,8208,19328,9664,29280,14640
"14（11）",170000,165000,"～",175000,17442,8721,20536,10268,31110,15555
"15（12）",180000,175000,"～",185000,18468,9234,21744,10872,32940,16470
"16（13）",190000,185000,"～",195000,19494,9747,22952,11476,34770,17385
"17（14）",200000,195000,"～",210000,20520,10260,24159.999999999996,12079.999999999998,36600,18300
"18（15）",220000,210000,"～",230000,22572,11286,26575.999999999996,13287.999999999998,40260,20130
"19（16）",240000,230000,"～",250000,24624,12312,28991.999999999996,14495.999999999998,43920,21960
"20（17）",260000,250000,"～",270000,26676,13338,31407.999999999996,15703.999999999998,47580,23790
"21（18）",280000,270000,"～",290000,28728,14364,33824,16912,51240,25620
"22（19）",300000,290000,"～",310000,30780,15390,36240,18120,54900,27450
"23（20）",320000,310000,"～",330000,32832,16416,38656,19328,58560,29280
