"令和5年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和5年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和5年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（熊本県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1032,,0.12140000000000001,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5985.6,2992.8,7041.200000000001,3520.6000000000004,,
2,68000,63000,"～",73000,7017.6,3508.8,8255.2,4127.6,,
3,78000,73000,"～",83000,8049.6,4024.8,9469.2,4734.6,,
"4（1）",88000,83000,"～",93000,9081.6,4540.8,10683.2,5341.6,16104,8052
"5（2）",98000,93000,"～",101000,10113.6,5056.8,11897.2,5948.6,17934,8967
"6（3）",104000,101000,"～",107000,10732.8,5366.4,12625.6,6312.8,19032,9516
"7（4）",110000,107000,"～",114000,11352,5676,13354,6677,20130,10065
"8（5）",118000,114000,"～",122000,12177.6,6088.8,14325.2,7162.6,21594,10797
"9（6）",126000,122000,"～",130000,13003.2,6501.6,15296.400000000001,7648.200000000001,23058,11529
"10（7）",134000,130000,"～",138000,13828.8,6914.4,16267.6,8133.8,24522,12261
"11（8）",142000,138000,"～",146000,14654.4,7327.2,17238.800000000003,8619.400000000001,25986,12993
"12（9）",150000,146000,"～",155000,15480,7740,18210,9105,27450,13725
"13（10）",160000,155000,"～",165000,16512,8256,19424,9712,29280,14640
"14（11）",170000,165000,"～",175000,17544,8772,20638,10319,31110,15555
"15（12）",180000,175000,"～",185000,18576,9288,21852,10926,32940,16470
"16（13）",190000,185000,"～",195000,19608,9804,23066,11533,34770,17385
"17（14）",200000,195000,"～",210000,20640,10320,24280,12140,36600,18300
"18（15）",220000,210000,"～",230000,22704,11352,26708,13354,40260,20130
"19（16）",240000,230000,"～",250000,24768,12384,29136.000000000004,14568.000000000002,43920,21960
"20（17）",260000,250000,"～",270000,26832,13416,31564.000000000004,15782.000000000002,47580,23790
"21（18）",280000,270000,"～",290000,28896,14448,33992,16996,51240,25620
"22（19）",300000,290000,"～",310000,30960,15480,36420,18210,54900,27450
"23（20）",320000,310000,"～",330000,33024,16512,38848,19424,58560,29280
"24（21）",340000,330000,"～",350000,35088,17544,41276,20638,62220,31110
