"令和5年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和5年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和5年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（沖縄県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.0989,,0.11710000000000001,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5736.2,2868.1,6791.8,3395.9,,
2,68000,63000,"～",73000,6725.2,3362.6,7962.800000000001,3981.4000000000005,,
3,78000,73000,"～",83000,7714.2,3857.1,9133.800000000001,4566.900000000001,,
"4（1）",88000,83000,"～",93000,8703.2,4351.6,10304.800000000001,5152.400000000001,16104,8052
"5（2）",98000,93000,"～",101000,9692.2,4846.1,11475.800000000001,5737.900000000001,17934,8967
"6（3）",104000,101000,"～",107000,10285.6,5142.8,12178.400000000001,6089.200000000001,19032,9516
"7（4）",110000,107000,"～",114000,10879,5439.5,12881.000000000002,6440.500000000001,20130,10065
"8（5）",118000,114000,"～",122000,11670.2,5835.1,13817.800000000001,6908.900000000001,21594,10797
"9（6）",126000,122000,"～",130000,12461.4,6230.7,14754.6,7377.3,23058,11529
"10（7）",134000,130000,"～",138000,13252.6,6626.3,15691.400000000001,7845.700000000001,24522,12261
"11（8）",142000,138000,"～",146000,14043.800000000001,7021.900000000001,16628.2,8314.1,25986,12993
"12（9）",150000,146000,"～",155000,14835,7417.5,17565,8782.5,27450,13725
"13（10）",160000,155000,"～",165000,15824,7912,18736,9368,29280,14640
"14（11）",170000,165000,"～",175000,16813,8406.5,19907,9953.5,31110,15555
"15（12）",180000,175000,"～",185000,17802,8901,21078,10539,32940,16470
"16（13）",190000,185000,"～",195000,18791,9395.5,22249.000000000004,11124.500000000002,34770,17385
"17（14）",200000,195000,"～",210000,19780,9890,23420.000000000004,11710.000000000002,36600,18300
"18（15）",220000,210000,"～",230000,21758,10879,25762.000000000004,12881.000000000002,40260,20130
"19（16）",240000,230000,"～",250000,23736,11868,28104.000000000004,14052.000000000002,43920,21960
"20（17）",260000,250000,"～",270000,25714,12857,30446.000000000004,15223.000000000002,47580,23790
"21（18）",280000,270000,"～",290000,27692,13846,32788,16394,51240,25620
