"令和5年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和5年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和5年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（佐賀県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1051,,0.12329999999999999,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,6095.8,3047.9,7151.4,3575.7,,
2,68000,63000,"～",73000,7146.8,3573.4,8384.4,4192.2,,
3,78000,73000,"～",83000,8197.8,4098.9,9617.4,4808.7,,
"4（1）",88000,83000,"～",93000,9248.8,4624.4,10850.4,5425.2,16104,8052
"5（2）",98000,93000,"～",101000,10299.8,5149.9,12083.4,6041.7,17934,8967
"6（3）",104000,101000,"～",107000,10930.4,5465.2,12823.199999999999,6411.599999999999,19032,9516
"7（4）",110000,107000,"～",114000,11561,5780.5,13563,6781.5,20130,10065
"8（5）",118000,114000,"～",122000,12401.8,6200.9,14549.4,7274.7,21594,10797
"9（6）",126000,122000,"～",130000,13242.6,6621.3,15535.8,7767.9,23058,11529
"10（7）",134000,130000,"～",138000,14083.4,7041.7,16522.2,8261.1,24522,12261
"11（8）",142000,138000,"～",146000,14924.2,7462.1,17508.6,8754.3,25986,12993
"12（9）",150000,146000,"～",155000,15765,7882.5,18495,9247.5,27450,13725
"13（10）",160000,155000,"～",165000,16816,8408,19728,9864,29280,14640
"14（11）",170000,165000,"～",175000,17867,8933.5,20961,10480.5,31110,15555
"15（12）",180000,175000,"～",185000,18918,9459,22194,11097,32940,16470
"16（13）",190000,185000,"～",195000,19969,9984.5,23427,11713.5,34770,17385
"17（14）",200000,195000,"～",210000,21020,10510,24660,12330,36600,18300
"18（15）",220000,210000,"～",230000,23122,11561,27126,13563,40260,20130
"19（16）",240000,230000,"～",250000,25224,12612,29592,14796,43920,21960
"20（17）",260000,250000,"～",270000,27326,13663,32057.999999999996,16028.999999999998,47580,23790
"21（18）",280000,270000,"～",290000,29428,14714,34524,17262,51240,25620
"22（19）",300000,290000,"～",310000,31530,15765,36990,18495,54900,27450
"23（20）",320000,310000,"～",330000,33632,16816,39456,19728,58560,29280
"24（21）",340000,330000,"～",350000,35734,17867,41922,20961,62220,31110
