"令和5年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和4年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和5年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（静岡県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.0975,,0.1157,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5655,2827.5,6710.599999999999,3355.2999999999997,,
2,68000,63000,"～",73000,6630,3315,7867.599999999999,3933.7999999999997,,
3,78000,73000,"～",83000,7605,3802.5,9024.6,4512.3,,
"4（1）",88000,83000,"～",93000,8580,4290,10181.6,5090.8,16104,8052
"5（2）",98000,93000,"～",101000,9555,4777.5,11338.6,5669.3,17934,8967
"6（3）",104000,101000,"～",107000,10140,5070,12032.8,6016.4,19032,9516
"7（4）",110000,107000,"～",114000,10725,5362.5,12727,6363.5,20130,10065
"8（5）",118000,114000,"～",122000,11505,5752.5,13652.6,6826.3,21594,10797
"9（6）",126000,122000,"～",130000,12285,6142.5,14578.199999999999,7289.099999999999,23058,11529
"10（7）",134000,130000,"～",138000,13065,6532.5,15503.8,7751.9,24522,12261
"11（8）",142000,138000,"～",146000,13845,6922.5,16429.399999999998,8214.699999999999,25986,12993
"12（9）",150000,146000,"～",155000,14625,7312.5,17355,8677.5,27450,13725
"13（10）",160000,155000,"～",165000,15600,7800,18512,9256,29280,14640
"14（11）",170000,165000,"～",175000,16575,8287.5,19669,9834.5,31110,15555
"15（12）",180000,175000,"～",185000,17550,8775,20826,10413,32940,16470
"16（13）",190000,185000,"～",195000,18525,9262.5,21983,10991.5,34770,17385
"17（14）",200000,195000,"～",210000,19500,9750,23140,11570,36600,18300
"18（15）",220000,210000,"～",230000,21450,10725,25454,12727,40260,20130
"19（16）",240000,230000,"～",250000,23400,11700,27768,13884,43920,21960
"20（17）",260000,250000,"～",270000,25350,12675,30082,15041,47580,23790
"21（18）",280000,270000,"～",290000,27300,13650,32396,16198,51240,25620
