"令和5年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和5年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和5年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（山梨県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.0967,,0.1149,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5608.599999999999,2804.2999999999997,6664.2,3332.1,,
2,68000,63000,"～",73000,6575.599999999999,3287.7999999999997,7813.2,3906.6,,
3,78000,73000,"～",83000,7542.599999999999,3771.2999999999997,8962.2,4481.1,,
"4（1）",88000,83000,"～",93000,8509.6,4254.8,10111.2,5055.6,16104,8052
"5（2）",98000,93000,"～",101000,9476.599999999999,4738.299999999999,11260.2,5630.1,17934,8967
"6（3）",104000,101000,"～",107000,10056.8,5028.4,11949.6,5974.8,19032,9516
"7（4）",110000,107000,"～",114000,10637,5318.5,12639,6319.5,20130,10065
"8（5）",118000,114000,"～",122000,11410.599999999999,5705.299999999999,13558.2,6779.1,21594,10797
"9（6）",126000,122000,"～",130000,12184.199999999999,6092.099999999999,14477.4,7238.7,23058,11529
"10（7）",134000,130000,"～",138000,12957.8,6478.9,15396.6,7698.3,24522,12261
"11（8）",142000,138000,"～",146000,13731.4,6865.7,16315.800000000001,8157.900000000001,25986,12993
"12（9）",150000,146000,"～",155000,14505,7252.5,17235,8617.5,27450,13725
"13（10）",160000,155000,"～",165000,15471.999999999998,7735.999999999999,18384,9192,29280,14640
"14（11）",170000,165000,"～",175000,16439,8219.5,19533,9766.5,31110,15555
"15（12）",180000,175000,"～",185000,17406,8703,20682,10341,32940,16470
"16（13）",190000,185000,"～",195000,18373,9186.5,21831,10915.5,34770,17385
"17（14）",200000,195000,"～",210000,19340,9670,22980,11490,36600,18300
"18（15）",220000,210000,"～",230000,21274,10637,25278,12639,40260,20130
"19（16）",240000,230000,"～",250000,23208,11604,27576,13788,43920,21960
"20（17）",260000,250000,"～",270000,25142,12571,29874,14937,47580,23790
"21（18）",280000,270000,"～",290000,27076,13538,32172,16086,51240,25620
"22（19）",300000,290000,"～",310000,29010,14505,34470,17235,54900,27450
"23（20）",320000,310000,"～",330000,30943.999999999996,15471.999999999998,36768,18384,58560,29280
