"令和６年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和6年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和6年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（秋田県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.09849999999999999,,0.11449999999999999,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5712.999999999999,2856.4999999999995,6640.999999999999,3320.4999999999995,,
2,68000,63000,"～",73000,6697.999999999999,3348.9999999999995,7785.999999999999,3892.9999999999995,,
3,78000,73000,"～",83000,7682.999999999999,3841.4999999999995,8931,4465.5,,
"4（1）",88000,83000,"～",93000,8668,4334,10076,5038,16104,8052
"5（2）",98000,93000,"～",101000,9652.999999999998,4826.499999999999,11220.999999999998,5610.499999999999,17934,8967
"6（3）",104000,101000,"～",107000,10243.999999999998,5121.999999999999,11907.999999999998,5953.999999999999,19032,9516
"7（4）",110000,107000,"～",114000,10834.999999999998,5417.499999999999,12594.999999999998,6297.499999999999,20130,10065
"8（5）",118000,114000,"～",122000,11622.999999999998,5811.499999999999,13510.999999999998,6755.499999999999,21594,10797
"9（6）",126000,122000,"～",130000,12410.999999999998,6205.499999999999,14426.999999999998,7213.499999999999,23058,11529
"10（7）",134000,130000,"～",138000,13198.999999999998,6599.499999999999,15342.999999999998,7671.499999999999,24522,12261
"11（8）",142000,138000,"～",146000,13986.999999999998,6993.499999999999,16258.999999999998,8129.499999999999,25986,12993
"12（9）",150000,146000,"～",155000,14774.999999999998,7387.499999999999,17175,8587.5,27450,13725
"13（10）",160000,155000,"～",165000,15759.999999999998,7879.999999999999,18320,9160,29280,14640
"14（11）",170000,165000,"～",175000,16745,8372.5,19465,9732.5,31110,15555
"15（12）",180000,175000,"～",185000,17730,8865,20610,10305,32940,16470
"16（13）",190000,185000,"～",195000,18714.999999999996,9357.499999999998,21755,10877.5,34770,17385
"17（14）",200000,195000,"～",210000,19699.999999999996,9849.999999999998,22899.999999999996,11449.999999999998,36600,18300
"18（15）",220000,210000,"～",230000,21669.999999999996,10834.999999999998,25189.999999999996,12594.999999999998,40260,20130
"19（16）",240000,230000,"～",250000,23639.999999999996,11819.999999999998,27479.999999999996,13739.999999999998,43920,21960
"20（17）",260000,250000,"～",270000,25609.999999999996,12804.999999999998,29769.999999999996,14884.999999999998,47580,23790
"21（18）",280000,270000,"～",290000,27579.999999999996,13789.999999999998,32059.999999999996,16029.999999999998,51240,25620
"22（19）",300000,290000,"～",310000,29549.999999999996,14774.999999999998,34350,17175,54900,27450
"23（20）",320000,310000,"～",330000,31519.999999999996,15759.999999999998,36640,18320,58560,29280
"24（21）",340000,330000,"～",350000,33490,16745,38930,19465,62220,31110
"25（22）",360000,350000,"～",370000,35460,17730,41220,20610,65880,32940
"26（23）",380000,370000,"～",395000,37429.99999999999,18714.999999999996,43510,21755,69540,34770
"27（24）",410000,395000,"～",425000,40384.99999999999,20192.499999999996,46944.99999999999,23472.499999999996,75030,37515
"28（25）",440000,425000,"～",455000,43339.99999999999,21669.999999999996,50379.99999999999,25189.999999999996,80520,40260
"29（26）",470000,455000,"～",485000,46294.99999999999,23147.499999999996,53814.99999999999,26907.499999999996,86010,43005
"30（27）",500000,485000,"～",515000,49249.99999999999,24624.999999999996,57249.99999999999,28624.999999999996,91500,45750
"31（28）",530000,515000,"～",545000,52204.99999999999,26102.499999999996,60684.99999999999,30342.499999999996,96990,48495
"32（29）",560000,545000,"～",575000,55159.99999999999,27579.999999999996,64119.99999999999,32059.999999999996,102480,51240
"33（30）",590000,575000,"～",605000,58114.99999999999,29057.499999999996,67555,33777.5,107970,53985
"34（31）",620000,605000,"～",635000,61069.99999999999,30534.999999999996,70990,35495,113460,56730
"35（32）",650000,635000,"～",665000,64024.99999999999,32012.499999999996,74425,37212.5,118950,59475
36,680000,665000,"～",695000,66980,33490,77860,38930,,
37,710000,695000,"～",730000,69935,34967.5,81295,40647.5,"※厚生年金基金に加入している方の",
38,750000,730000,"～",770000,73875,36937.5,85875,42937.5,"　 厚生年金保険料率は、基金ごとに",
39,790000,770000,"～",810000,77814.99999999999,38907.49999999999,90454.99999999999,45227.49999999999,"　 定められている免除保険料率",
40,830000,810000,"～",855000,81754.99999999999,40877.49999999999,95034.99999999999,47517.49999999999,"   （2.4％～5.0％）を控除した率となり",
41,880000,855000,"～",905000,86679.99999999999,43339.99999999999,100759.99999999999,50379.99999999999,"   ます。",
42,930000,905000,"～",955000,91604.99999999999,45802.49999999999,106484.99999999999,53242.49999999999,,
43,980000,955000,"～",1005000,96529.99999999999,48264.99999999999,112209.99999999999,56104.99999999999,"　 加入する基金ごとに異なりますの",
44,1030000,1005000,"～",1055000,101454.99999999999,50727.49999999999,117934.99999999999,58967.49999999999,"　 で、免除保険料率および厚生年金",
45,1090000,1055000,"～",1115000,107364.99999999999,53682.49999999999,124804.99999999999,62402.49999999999,"　 基金の掛金については、加入する",
46,1150000,1115000,"～",1175000,113274.99999999999,56637.49999999999,131675,65837.5,"　 厚生年金基金にお問い合わせ",
47,1210000,1175000,"～",1235000,119184.99999999999,59592.49999999999,138545,69272.5,"　 ください。",
48,1270000,1235000,"～",1295000,125094.99999999999,62547.49999999999,145415,72707.5,,
49,1330000,1295000,"～",1355000,131004.99999999999,65502.49999999999,152285,76142.5,,
50,1390000,1355000,"～",,136915,68457.5,159155,79577.5,,
,,,,,,,,,,
"◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（9.85%）に介護保険料率（1.60%）が加わります。",,,,,,,,,,
"◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。",,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　35（32）等級の「報酬月額」欄は、厚生年金保険の場合「635,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和6年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、300,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合",,,,,,,,,,
"　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。",,,,,,,,,,
"　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。",,,,,,,,,,
"　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。",,,,,,,,,,
,,,,,,,,,,
"  ○納入告知書の保険料額",,,,,,,,,,
"  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。",,,,,,,,,,
,,,,,,,,,,
"  ○賞与にかかる保険料額",,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
"  　また、標準賞与額の上限は、健康保険は年間573万円（毎年4月1日から翌年3月31日までの累計額。）となり、厚生年金保険と子ども・子育て拠出金の場合は",,,,,,,,,,
"　　月間150万円となります。　",,,,,,,,,,
,,,,,,,,,,
"　○子ども・子育て拠出金",,,,,,,,,,
"　　事業主の方は、児童手当の支給に要する費用等の一部として、子ども・子育て拠出金を負担いただくことになります。（被保険者の負担はありません。）",,,,,,,,,,
"　　この子ども・子育て拠出金の額は、被保険者個々の厚生年金保険の標準報酬月額および標準賞与額に、拠出金率（0.36％）を乗じて得た額の総額となります。",,,,,,,,,,
