"令和６年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和6年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和6年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（愛媛県）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1003,,0.1163,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5817.4,2908.7,6745.4,3372.7,,
2,68000,63000,"～",73000,6820.4,3410.2,7908.4,3954.2,,
3,78000,73000,"～",83000,7823.4,3911.7,9071.4,4535.7,,
"4（1）",88000,83000,"～",93000,8826.4,4413.2,10234.4,5117.2,16104,8052
"5（2）",98000,93000,"～",101000,9829.4,4914.7,11397.4,5698.7,17934,8967
"6（3）",104000,101000,"～",107000,10431.2,5215.6,12095.2,6047.6,19032,9516
"7（4）",110000,107000,"～",114000,11033,5516.5,12793,6396.5,20130,10065
"8（5）",118000,114000,"～",122000,11835.4,5917.7,13723.4,6861.7,21594,10797
"9（6）",126000,122000,"～",130000,12637.8,6318.9,14653.8,7326.9,23058,11529
"10（7）",134000,130000,"～",138000,13440.2,6720.1,15584.2,7792.1,24522,12261
"11（8）",142000,138000,"～",146000,14242.6,7121.3,16514.6,8257.3,25986,12993
"12（9）",150000,146000,"～",155000,15045,7522.5,17445,8722.5,27450,13725
"13（10）",160000,155000,"～",165000,16048,8024,18608,9304,29280,14640
"14（11）",170000,165000,"～",175000,17051,8525.5,19771,9885.5,31110,15555
"15（12）",180000,175000,"～",185000,18054,9027,20934,10467,32940,16470
"16（13）",190000,185000,"～",195000,19057,9528.5,22097,11048.5,34770,17385
"17（14）",200000,195000,"～",210000,20060,10030,23260,11630,36600,18300
"18（15）",220000,210000,"～",230000,22066,11033,25586,12793,40260,20130
"19（16）",240000,230000,"～",250000,24072,12036,27912,13956,43920,21960
"20（17）",260000,250000,"～",270000,26078,13039,30238,15119,47580,23790
"21（18）",280000,270000,"～",290000,28084,14042,32564,16282,51240,25620
"22（19）",300000,290000,"～",310000,30090,15045,34890,17445,54900,27450
"23（20）",320000,310000,"～",330000,32096,16048,37216,18608,58560,29280
"24（21）",340000,330000,"～",350000,34102,17051,39542,19771,62220,31110
"25（22）",360000,350000,"～",370000,36108,18054,41868,20934,65880,32940
"26（23）",380000,370000,"～",395000,38114,19057,44194,22097,69540,34770
"27（24）",410000,395000,"～",425000,41123,20561.5,47683,23841.5,75030,37515
"28（25）",440000,425000,"～",455000,44132,22066,51172,25586,80520,40260
"29（26）",470000,455000,"～",485000,47141,23570.5,54661,27330.5,86010,43005
"30（27）",500000,485000,"～",515000,50150,25075,58150,29075,91500,45750
"31（28）",530000,515000,"～",545000,53159,26579.5,61639,30819.5,96990,48495
"32（29）",560000,545000,"～",575000,56168,28084,65128,32564,102480,51240
"33（30）",590000,575000,"～",605000,59177,29588.5,68617,34308.5,107970,53985
"34（31）",620000,605000,"～",635000,62186,31093,72106,36053,113460,56730
"35（32）",650000,635000,"～",665000,65195,32597.5,75595,37797.5,118950,59475
36,680000,665000,"～",695000,68204,34102,79084,39542,,
37,710000,695000,"～",730000,71213,35606.5,82573,41286.5,"※厚生年金基金に加入している方の",
38,750000,730000,"～",770000,75225,37612.5,87225,43612.5,"　 厚生年金保険料率は、基金ごとに",
39,790000,770000,"～",810000,79237,39618.5,91877,45938.5,"　 定められている免除保険料率",
40,830000,810000,"～",855000,83249,41624.5,96529,48264.5,"   （2.4％～5.0％）を控除した率となり",
41,880000,855000,"～",905000,88264,44132,102344,51172,"   ます。",
42,930000,905000,"～",955000,93279,46639.5,108159,54079.5,,
43,980000,955000,"～",1005000,98294,49147,113974,56987,"　 加入する基金ごとに異なりますの",
44,1030000,1005000,"～",1055000,103309,51654.5,119789,59894.5,"　 で、免除保険料率および厚生年金",
45,1090000,1055000,"～",1115000,109327,54663.5,126767,63383.5,"　 基金の掛金については、加入する",
46,1150000,1115000,"～",1175000,115345,57672.5,133745,66872.5,"　 厚生年金基金にお問い合わせ",
47,1210000,1175000,"～",1235000,121363,60681.5,140723,70361.5,"　 ください。",
48,1270000,1235000,"～",1295000,127381,63690.5,147701,73850.5,,
49,1330000,1295000,"～",1355000,133399,66699.5,154679,77339.5,,
50,1390000,1355000,"～",,139417,69708.5,161657,80828.5,,
,,,,,,,,,,
"◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（10.03%）に介護保険料率（1.60%）が加わります。",,,,,,,,,,
"◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。",,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　35（32）等級の「報酬月額」欄は、厚生年金保険の場合「635,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和6年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、300,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合",,,,,,,,,,
"　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。",,,,,,,,,,
"　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。",,,,,,,,,,
"　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。",,,,,,,,,,
,,,,,,,,,,
"  ○納入告知書の保険料額",,,,,,,,,,
"  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。",,,,,,,,,,
,,,,,,,,,,
"  ○賞与にかかる保険料額",,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
"  　また、標準賞与額の上限は、健康保険は年間573万円（毎年4月1日から翌年3月31日までの累計額。）となり、厚生年金保険と子ども・子育て拠出金の場合は",,,,,,,,,,
"　　月間150万円となります。　",,,,,,,,,,
,,,,,,,,,,
"　○子ども・子育て拠出金",,,,,,,,,,
"　　事業主の方は、児童手当の支給に要する費用等の一部として、子ども・子育て拠出金を負担いただくことになります。（被保険者の負担はありません。）",,,,,,,,,,
"　　この子ども・子育て拠出金の額は、被保険者個々の厚生年金保険の標準報酬月額および標準賞与額に、拠出金率（0.36％）を乗じて得た額の総額となります。",,,,,,,,,,
