"令和７年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和7年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和7年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（茨城支部）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.0967,,0.11259999999999999,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5608.599999999999,2804.2999999999997,6530.799999999999,3265.3999999999996,,
2,68000,63000,"～",73000,6575.599999999999,3287.7999999999997,7656.799999999999,3828.3999999999996,,
3,78000,73000,"～",83000,7542.599999999999,3771.2999999999997,8782.8,4391.4,,
"4（1）",88000,83000,"～",93000,8509.6,4254.8,9908.8,4954.4,16104,8052
"5（2）",98000,93000,"～",101000,9476.599999999999,4738.299999999999,11034.8,5517.4,17934,8967
"6（3）",104000,101000,"～",107000,10056.8,5028.4,11710.4,5855.2,19032,9516
"7（4）",110000,107000,"～",114000,10637,5318.5,12386,6193,20130,10065
"8（5）",118000,114000,"～",122000,11410.599999999999,5705.299999999999,13286.8,6643.4,21594,10797
"9（6）",126000,122000,"～",130000,12184.199999999999,6092.099999999999,14187.599999999999,7093.799999999999,23058,11529
"10（7）",134000,130000,"～",138000,12957.8,6478.9,15088.4,7544.2,24522,12261
"11（8）",142000,138000,"～",146000,13731.4,6865.7,15989.199999999999,7994.599999999999,25986,12993
"12（9）",150000,146000,"～",155000,14505,7252.5,16890,8445,27450,13725
"13（10）",160000,155000,"～",165000,15471.999999999998,7735.999999999999,18016,9008,29280,14640
"14（11）",170000,165000,"～",175000,16439,8219.5,19142,9571,31110,15555
"15（12）",180000,175000,"～",185000,17406,8703,20268,10134,32940,16470
"16（13）",190000,185000,"～",195000,18373,9186.5,21394,10697,34770,17385
"17（14）",200000,195000,"～",210000,19340,9670,22520,11260,36600,18300
"18（15）",220000,210000,"～",230000,21274,10637,24772,12386,40260,20130
"19（16）",240000,230000,"～",250000,23208,11604,27023.999999999996,13511.999999999998,43920,21960
"20（17）",260000,250000,"～",270000,25142,12571,29275.999999999996,14637.999999999998,47580,23790
"21（18）",280000,270000,"～",290000,27076,13538,31527.999999999996,15763.999999999998,51240,25620
"22（19）",300000,290000,"～",310000,29010,14505,33780,16890,54900,27450
"23（20）",320000,310000,"～",330000,30943.999999999996,15471.999999999998,36032,18016,58560,29280
"24（21）",340000,330000,"～",350000,32878,16439,38284,19142,62220,31110
"25（22）",360000,350000,"～",370000,34812,17406,40536,20268,65880,32940
"26（23）",380000,370000,"～",395000,36746,18373,42788,21394,69540,34770
"27（24）",410000,395000,"～",425000,39647,19823.5,46166,23083,75030,37515
"28（25）",440000,425000,"～",455000,42548,21274,49544,24772,80520,40260
"29（26）",470000,455000,"～",485000,45449,22724.5,52921.99999999999,26460.999999999996,86010,43005
"30（27）",500000,485000,"～",515000,48350,24175,56299.99999999999,28150,91500,45750
"31（28）",530000,515000,"～",545000,51251,25625.5,59677.99999999999,29838.999999999996,96990,48495
"32（29）",560000,545000,"～",575000,54152,27076,63055.99999999999,31527.999999999996,102480,51240
"33（30）",590000,575000,"～",605000,57053,28526.5,66434,33217,107970,53985
"34（31）",620000,605000,"～",635000,59954,29977,69812,34906,113460,56730
"35（32）",650000,635000,"～",665000,62854.99999999999,31427.499999999996,73190,36595,118950,59475
36,680000,665000,"～",695000,65756,32878,76568,38284,,
37,710000,695000,"～",730000,68657,34328.5,79946,39973,"※厚生年金基金に加入している方の",
38,750000,730000,"～",770000,72525,36262.5,84450,42225,"　 厚生年金保険料率は、基金ごとに",
39,790000,770000,"～",810000,76393,38196.5,88954,44477,"　 定められている免除保険料率",
40,830000,810000,"～",855000,80261,40130.5,93458,46729,"   （2.4％～5.0％）を控除した率となり",
41,880000,855000,"～",905000,85096,42548,99088,49544,"   ます。",
42,930000,905000,"～",955000,89931,44965.5,104717.99999999999,52358.99999999999,,
43,980000,955000,"～",1005000,94766,47383,110347.99999999999,55173.99999999999,"　 加入する基金ごとに異なりますの",
44,1030000,1005000,"～",1055000,99601,49800.5,115977.99999999999,57988.99999999999,"　 で、免除保険料率および厚生年金",
45,1090000,1055000,"～",1115000,105403,52701.5,122733.99999999999,61366.99999999999,"　 基金の掛金については、加入する",
46,1150000,1115000,"～",1175000,111205,55602.5,129489.99999999999,64744.99999999999,"　 厚生年金基金にお問い合わせ",
47,1210000,1175000,"～",1235000,117007,58503.5,136246,68123,"　 ください。",
48,1270000,1235000,"～",1295000,122809,61404.5,143002,71501,,
49,1330000,1295000,"～",1355000,128610.99999999999,64305.49999999999,149758,74879,,
50,1390000,1355000,"～",,134413,67206.5,156514,78257,,
,,,,,,,,,,
"◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（9.67%）に介護保険料率（1.59%）が加わります。",,,,,,,,,,
"◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。",,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　35（32）等級の「報酬月額」欄は、厚生年金保険の場合「635,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和7年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、320,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合",,,,,,,,,,
"　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。",,,,,,,,,,
"　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。",,,,,,,,,,
"　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。",,,,,,,,,,
,,,,,,,,,,
"  ○納入告知書の保険料額",,,,,,,,,,
"  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。",,,,,,,,,,
,,,,,,,,,,
"  ○賞与に係る保険料額",,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
