"令和７年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和7年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和7年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（神奈川支部）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.0992,,0.1151,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5753.599999999999,2876.7999999999997,6675.799999999999,3337.8999999999996,,
2,68000,63000,"～",73000,6745.599999999999,3372.7999999999997,7826.799999999999,3913.3999999999996,,
3,78000,73000,"～",83000,7737.599999999999,3868.7999999999997,8977.8,4488.9,,
"4（1）",88000,83000,"～",93000,8729.6,4364.8,10128.8,5064.4,16104,8052
"5（2）",98000,93000,"～",101000,9721.6,4860.8,11279.8,5639.9,17934,8967
"6（3）",104000,101000,"～",107000,10316.8,5158.4,11970.4,5985.2,19032,9516
"7（4）",110000,107000,"～",114000,10912,5456,12661,6330.5,20130,10065
"8（5）",118000,114000,"～",122000,11705.6,5852.8,13581.8,6790.9,21594,10797
"9（6）",126000,122000,"～",130000,12499.199999999999,6249.599999999999,14502.599999999999,7251.299999999999,23058,11529
"10（7）",134000,130000,"～",138000,13292.8,6646.4,15423.4,7711.7,24522,12261
"11（8）",142000,138000,"～",146000,14086.4,7043.2,16344.199999999999,8172.099999999999,25986,12993
"12（9）",150000,146000,"～",155000,14880,7440,17265,8632.5,27450,13725
"13（10）",160000,155000,"～",165000,15872,7936,18416,9208,29280,14640
"14（11）",170000,165000,"～",175000,16864,8432,19567,9783.5,31110,15555
"15（12）",180000,175000,"～",185000,17856,8928,20718,10359,32940,16470
"16（13）",190000,185000,"～",195000,18848,9424,21869,10934.5,34770,17385
"17（14）",200000,195000,"～",210000,19840,9920,23020,11510,36600,18300
"18（15）",220000,210000,"～",230000,21824,10912,25322,12661,40260,20130
"19（16）",240000,230000,"～",250000,23808,11904,27624,13812,43920,21960
"20（17）",260000,250000,"～",270000,25792,12896,29926,14963,47580,23790
"21（18）",280000,270000,"～",290000,27776,13888,32228,16114,51240,25620
"22（19）",300000,290000,"～",310000,29760,14880,34530,17265,54900,27450
"23（20）",320000,310000,"～",330000,31744,15872,36832,18416,58560,29280
"24（21）",340000,330000,"～",350000,33728,16864,39134,19567,62220,31110
"25（22）",360000,350000,"～",370000,35712,17856,41436,20718,65880,32940
"26（23）",380000,370000,"～",395000,37696,18848,43738,21869,69540,34770
"27（24）",410000,395000,"～",425000,40672,20336,47191,23595.5,75030,37515
"28（25）",440000,425000,"～",455000,43648,21824,50644,25322,80520,40260
"29（26）",470000,455000,"～",485000,46624,23312,54097,27048.5,86010,43005
"30（27）",500000,485000,"～",515000,49600,24800,57550,28775,91500,45750
"31（28）",530000,515000,"～",545000,52576,26288,61003,30501.5,96990,48495
"32（29）",560000,545000,"～",575000,55552,27776,64456,32228,102480,51240
"33（30）",590000,575000,"～",605000,58528,29264,67909,33954.5,107970,53985
"34（31）",620000,605000,"～",635000,61504,30752,71362,35681,113460,56730
"35（32）",650000,635000,"～",665000,64480,32240,74815,37407.5,118950,59475
36,680000,665000,"～",695000,67456,33728,78268,39134,,
37,710000,695000,"～",730000,70432,35216,81721,40860.5,"※厚生年金基金に加入している方の",
38,750000,730000,"～",770000,74400,37200,86325,43162.5,"　 厚生年金保険料率は、基金ごとに",
39,790000,770000,"～",810000,78368,39184,90929,45464.5,"　 定められている免除保険料率",
40,830000,810000,"～",855000,82336,41168,95533,47766.5,"   （2.4％～5.0％）を控除した率となり",
41,880000,855000,"～",905000,87296,43648,101288,50644,"   ます。",
42,930000,905000,"～",955000,92256,46128,107043,53521.5,,
43,980000,955000,"～",1005000,97216,48608,112798,56399,"　 加入する基金ごとに異なりますの",
44,1030000,1005000,"～",1055000,102176,51088,118553,59276.5,"　 で、免除保険料率および厚生年金",
45,1090000,1055000,"～",1115000,108128,54064,125459,62729.5,"　 基金の掛金については、加入する",
46,1150000,1115000,"～",1175000,114080,57040,132365,66182.5,"　 厚生年金基金にお問い合わせ",
47,1210000,1175000,"～",1235000,120032,60016,139271,69635.5,"　 ください。",
48,1270000,1235000,"～",1295000,125984,62992,146177,73088.5,,
49,1330000,1295000,"～",1355000,131936,65968,153083,76541.5,,
50,1390000,1355000,"～",,137888,68944,159989,79994.5,,
,,,,,,,,,,
"◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（9.92%）に介護保険料率（1.59%）が加わります。",,,,,,,,,,
"◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。",,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　35（32）等級の「報酬月額」欄は、厚生年金保険の場合「635,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和7年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、320,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合",,,,,,,,,,
"　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。",,,,,,,,,,
"　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。",,,,,,,,,,
"　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。",,,,,,,,,,
,,,,,,,,,,
"  ○納入告知書の保険料額",,,,,,,,,,
"  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。",,,,,,,,,,
,,,,,,,,,,
"  ○賞与に係る保険料額",,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
"  　また、標準賞与額の上限は、健康保険は年間573万円（毎年4月1日から翌年3月31日までの累計額。）となり、厚生年金保険と子ども・子育て拠出金の場合は",,,,,,,,,,
"　　月間150万円となります。　",,,,,,,,,,
,,,,,,,,,,
"　○子ども・子育て拠出金",,,,,,,,,,
