"令和７年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和7年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和7年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（宮崎支部）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1009,,0.1168,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5852.2,2926.1,6774.4,3387.2,,
2,68000,63000,"～",73000,6861.2,3430.6,7942.4,3971.2,,
3,78000,73000,"～",83000,7870.200000000001,3935.1000000000004,9110.4,4555.2,,
"4（1）",88000,83000,"～",93000,8879.2,4439.6,10278.4,5139.2,16104,8052
"5（2）",98000,93000,"～",101000,9888.2,4944.1,11446.4,5723.2,17934,8967
"6（3）",104000,101000,"～",107000,10493.6,5246.8,12147.2,6073.6,19032,9516
"7（4）",110000,107000,"～",114000,11099,5549.5,12848,6424,20130,10065
"8（5）",118000,114000,"～",122000,11906.2,5953.1,13782.4,6891.2,21594,10797
"9（6）",126000,122000,"～",130000,12713.4,6356.7,14716.8,7358.4,23058,11529
"10（7）",134000,130000,"～",138000,13520.6,6760.3,15651.2,7825.6,24522,12261
"11（8）",142000,138000,"～",146000,14327.800000000001,7163.900000000001,16585.6,8292.8,25986,12993
"12（9）",150000,146000,"～",155000,15135,7567.5,17520,8760,27450,13725
"13（10）",160000,155000,"～",165000,16144,8072,18688,9344,29280,14640
"14（11）",170000,165000,"～",175000,17153,8576.5,19856,9928,31110,15555
"15（12）",180000,175000,"～",185000,18162,9081,21024,10512,32940,16470
"16（13）",190000,185000,"～",195000,19171,9585.5,22192,11096,34770,17385
"17（14）",200000,195000,"～",210000,20180,10090,23360,11680,36600,18300
"18（15）",220000,210000,"～",230000,22198,11099,25696,12848,40260,20130
"19（16）",240000,230000,"～",250000,24216,12108,28032,14016,43920,21960
"20（17）",260000,250000,"～",270000,26234,13117,30368,15184,47580,23790
"21（18）",280000,270000,"～",290000,28252,14126,32704,16352,51240,25620
"22（19）",300000,290000,"～",310000,30270,15135,35040,17520,54900,27450
"23（20）",320000,310000,"～",330000,32288,16144,37376,18688,58560,29280
"24（21）",340000,330000,"～",350000,34306,17153,39712,19856,62220,31110
"25（22）",360000,350000,"～",370000,36324,18162,42048,21024,65880,32940
"26（23）",380000,370000,"～",395000,38342,19171,44384,22192,69540,34770
"27（24）",410000,395000,"～",425000,41369,20684.5,47888,23944,75030,37515
"28（25）",440000,425000,"～",455000,44396,22198,51392,25696,80520,40260
"29（26）",470000,455000,"～",485000,47423,23711.5,54896,27448,86010,43005
"30（27）",500000,485000,"～",515000,50450,25225,58400,29200,91500,45750
"31（28）",530000,515000,"～",545000,53477,26738.5,61904,30952,96990,48495
"32（29）",560000,545000,"～",575000,56504,28252,65408,32704,102480,51240
"33（30）",590000,575000,"～",605000,59531,29765.5,68912,34456,107970,53985
"34（31）",620000,605000,"～",635000,62558,31279,72416,36208,113460,56730
"35（32）",650000,635000,"～",665000,65585,32792.5,75920,37960,118950,59475
36,680000,665000,"～",695000,68612,34306,79424,39712,,
37,710000,695000,"～",730000,71639,35819.5,82928,41464,"※厚生年金基金に加入している方の",
38,750000,730000,"～",770000,75675,37837.5,87600,43800,"　 厚生年金保険料率は、基金ごとに",
39,790000,770000,"～",810000,79711,39855.5,92272,46136,"　 定められている免除保険料率",
40,830000,810000,"～",855000,83747,41873.5,96944,48472,"   （2.4％～5.0％）を控除した率となり",
41,880000,855000,"～",905000,88792,44396,102784,51392,"   ます。",
42,930000,905000,"～",955000,93837,46918.5,108624,54312,,
43,980000,955000,"～",1005000,98882,49441,114464,57232,"　 加入する基金ごとに異なりますの",
44,1030000,1005000,"～",1055000,103927,51963.5,120304,60152,"　 で、免除保険料率および厚生年金",
45,1090000,1055000,"～",1115000,109981,54990.5,127312,63656,"　 基金の掛金については、加入する",
46,1150000,1115000,"～",1175000,116035,58017.5,134320,67160,"　 厚生年金基金にお問い合わせ",
47,1210000,1175000,"～",1235000,122089,61044.5,141328,70664,"　 ください。",
48,1270000,1235000,"～",1295000,128143,64071.5,148336,74168,,
49,1330000,1295000,"～",1355000,134197,67098.5,155344,77672,,
50,1390000,1355000,"～",,140251,70125.5,162352,81176,,
,,,,,,,,,,
"◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（10.09%）に介護保険料率（1.59%）が加わります。",,,,,,,,,,
"◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。",,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　35（32）等級の「報酬月額」欄は、厚生年金保険の場合「635,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和7年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、320,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合",,,,,,,,,,
"　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。",,,,,,,,,,
"　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。",,,,,,,,,,
"　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。",,,,,,,,,,
,,,,,,,,,,
"  ○納入告知書の保険料額",,,,,,,,,,
"  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。",,,,,,,,,,
,,,,,,,,,,
"  ○賞与に係る保険料額",,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
"  　また、標準賞与額の上限は、健康保険は年間573万円（毎年4月1日から翌年3月31日までの累計額。）となり、厚生年金保険と子ども・子育て拠出金の場合は",,,,,,,,,,
"　　月間150万円となります。　",,,,,,,,,,
,,,,,,,,,,
"　○子ども・子育て拠出金",,,,,,,,,,
"　　事業主の方は、児童手当の支給に要する費用等の一部として、子ども・子育て拠出金を負担いただくことになります。（被保険者の負担はありません。）",,,,,,,,,,
