"令和７年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和7年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和7年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（岡山支部）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1017,,0.1176,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,5898.6,2949.3,6820.8,3410.4,,
2,68000,63000,"～",73000,6915.6,3457.8,7996.8,3998.4,,
3,78000,73000,"～",83000,7932.599999999999,3966.2999999999997,9172.8,4586.4,,
"4（1）",88000,83000,"～",93000,8949.6,4474.8,10348.8,5174.4,16104,8052
"5（2）",98000,93000,"～",101000,9966.6,4983.3,11524.8,5762.4,17934,8967
"6（3）",104000,101000,"～",107000,10576.8,5288.4,12230.4,6115.2,19032,9516
"7（4）",110000,107000,"～",114000,11187,5593.5,12936,6468,20130,10065
"8（5）",118000,114000,"～",122000,12000.6,6000.3,13876.8,6938.4,21594,10797
"9（6）",126000,122000,"～",130000,12814.2,6407.1,14817.6,7408.8,23058,11529
"10（7）",134000,130000,"～",138000,13627.8,6813.9,15758.4,7879.2,24522,12261
"11（8）",142000,138000,"～",146000,14441.4,7220.7,16699.2,8349.6,25986,12993
"12（9）",150000,146000,"～",155000,15255,7627.5,17640,8820,27450,13725
"13（10）",160000,155000,"～",165000,16272,8136,18816,9408,29280,14640
"14（11）",170000,165000,"～",175000,17289,8644.5,19992,9996,31110,15555
"15（12）",180000,175000,"～",185000,18306,9153,21168,10584,32940,16470
"16（13）",190000,185000,"～",195000,19323,9661.5,22344,11172,34770,17385
"17（14）",200000,195000,"～",210000,20340,10170,23520,11760,36600,18300
"18（15）",220000,210000,"～",230000,22374,11187,25872,12936,40260,20130
"19（16）",240000,230000,"～",250000,24408,12204,28224,14112,43920,21960
"20（17）",260000,250000,"～",270000,26442,13221,30576,15288,47580,23790
"21（18）",280000,270000,"～",290000,28476,14238,32928,16464,51240,25620
"22（19）",300000,290000,"～",310000,30510,15255,35280,17640,54900,27450
"23（20）",320000,310000,"～",330000,32544,16272,37632,18816,58560,29280
"24（21）",340000,330000,"～",350000,34578,17289,39984,19992,62220,31110
"25（22）",360000,350000,"～",370000,36612,18306,42336,21168,65880,32940
"26（23）",380000,370000,"～",395000,38646,19323,44688,22344,69540,34770
"27（24）",410000,395000,"～",425000,41697,20848.5,48216,24108,75030,37515
"28（25）",440000,425000,"～",455000,44748,22374,51744,25872,80520,40260
"29（26）",470000,455000,"～",485000,47799,23899.5,55272,27636,86010,43005
"30（27）",500000,485000,"～",515000,50850,25425,58800,29400,91500,45750
"31（28）",530000,515000,"～",545000,53901,26950.5,62328,31164,96990,48495
"32（29）",560000,545000,"～",575000,56952,28476,65856,32928,102480,51240
"33（30）",590000,575000,"～",605000,60003,30001.5,69384,34692,107970,53985
"34（31）",620000,605000,"～",635000,63054,31527,72912,36456,113460,56730
"35（32）",650000,635000,"～",665000,66105,33052.5,76440,38220,118950,59475
36,680000,665000,"～",695000,69156,34578,79968,39984,,
37,710000,695000,"～",730000,72207,36103.5,83496,41748,"※厚生年金基金に加入している方の",
38,750000,730000,"～",770000,76275,38137.5,88200,44100,"　 厚生年金保険料率は、基金ごとに",
39,790000,770000,"～",810000,80343,40171.5,92904,46452,"　 定められている免除保険料率",
40,830000,810000,"～",855000,84411,42205.5,97608,48804,"   （2.4％～5.0％）を控除した率となり",
41,880000,855000,"～",905000,89496,44748,103488,51744,"   ます。",
42,930000,905000,"～",955000,94581,47290.5,109368,54684,,
43,980000,955000,"～",1005000,99666,49833,115248,57624,"　 加入する基金ごとに異なりますの",
44,1030000,1005000,"～",1055000,104751,52375.5,121128,60564,"　 で、免除保険料率および厚生年金",
45,1090000,1055000,"～",1115000,110853,55426.5,128184,64092,"　 基金の掛金については、加入する",
46,1150000,1115000,"～",1175000,116955,58477.5,135240,67620,"　 厚生年金基金にお問い合わせ",
47,1210000,1175000,"～",1235000,123057,61528.5,142296,71148,"　 ください。",
48,1270000,1235000,"～",1295000,129159,64579.5,149352,74676,,
49,1330000,1295000,"～",1355000,135261,67630.5,156408,78204,,
50,1390000,1355000,"～",,141363,70681.5,163464,81732,,
,,,,,,,,,,
"◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（10.17%）に介護保険料率（1.59%）が加わります。",,,,,,,,,,
"◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。",,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　35（32）等級の「報酬月額」欄は、厚生年金保険の場合「635,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和7年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、320,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合",,,,,,,,,,
"　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。",,,,,,,,,,
"　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。",,,,,,,,,,
"　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。",,,,,,,,,,
,,,,,,,,,,
"  ○納入告知書の保険料額",,,,,,,,,,
"  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。",,,,,,,,,,
,,,,,,,,,,
"  ○賞与に係る保険料額",,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
"  　また、標準賞与額の上限は、健康保険は年間573万円（毎年4月1日から翌年3月31日までの累計額。）となり、厚生年金保険と子ども・子育て拠出金の場合は",,,,,,,,,,
"　　月間150万円となります。　",,,,,,,,,,
,,,,,,,,,,
"　○子ども・子育て拠出金",,,,,,,,,,
"　　事業主の方は、児童手当の支給に要する費用等の一部として、子ども・子育て拠出金を負担いただくことになります。（被保険者の負担はありません。）",,,,,,,,,,
