"令和７年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表",,,,,,,,,,
,,,,,,,,,,
,"・健康保険料率：令和7年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用",,,,,,,,,
,"・介護保険料率：令和7年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用",,,,,,,,,
,,,,,,,,,,
"（徳島支部）",,,,,,,,,,"（単位：円）"
"標  準  報  酬",,"報  酬  月  額",,,"全国健康保険協会管掌健康保険料",,,,"厚生年金保険料（厚生年金基金加入員を除く）",
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,"一般、坑内員・船員",
"等級","月  額",,,,0.1047,,0.1206,,0.183,
,,,,,"全  額","折半額","全  額","折半額","全  額","折半額"
,,"円以上",,"円未満",,,,,,
1,58000,,"～",63000,6072.6,3036.3,6994.8,3497.4,,
2,68000,63000,"～",73000,7119.6,3559.8,8200.8,4100.4,,
3,78000,73000,"～",83000,8166.6,4083.3,9406.8,4703.4,,
"4（1）",88000,83000,"～",93000,9213.6,4606.8,10612.8,5306.4,16104,8052
"5（2）",98000,93000,"～",101000,10260.6,5130.3,11818.8,5909.4,17934,8967
"6（3）",104000,101000,"～",107000,10888.8,5444.4,12542.4,6271.2,19032,9516
"7（4）",110000,107000,"～",114000,11517,5758.5,13266,6633,20130,10065
"8（5）",118000,114000,"～",122000,12354.6,6177.3,14230.8,7115.4,21594,10797
"9（6）",126000,122000,"～",130000,13192.2,6596.1,15195.6,7597.8,23058,11529
"10（7）",134000,130000,"～",138000,14029.800000000001,7014.900000000001,16160.4,8080.2,24522,12261
"11（8）",142000,138000,"～",146000,14867.4,7433.7,17125.2,8562.6,25986,12993
"12（9）",150000,146000,"～",155000,15705,7852.5,18090,9045,27450,13725
"13（10）",160000,155000,"～",165000,16752,8376,19296,9648,29280,14640
"14（11）",170000,165000,"～",175000,17799,8899.5,20502,10251,31110,15555
"15（12）",180000,175000,"～",185000,18846,9423,21708,10854,32940,16470
"16（13）",190000,185000,"～",195000,19893,9946.5,22914,11457,34770,17385
"17（14）",200000,195000,"～",210000,20940,10470,24120,12060,36600,18300
"18（15）",220000,210000,"～",230000,23034,11517,26532,13266,40260,20130
"19（16）",240000,230000,"～",250000,25128,12564,28944,14472,43920,21960
"20（17）",260000,250000,"～",270000,27222,13611,31356,15678,47580,23790
"21（18）",280000,270000,"～",290000,29316,14658,33768,16884,51240,25620
"22（19）",300000,290000,"～",310000,31410,15705,36180,18090,54900,27450
"23（20）",320000,310000,"～",330000,33504,16752,38592,19296,58560,29280
"24（21）",340000,330000,"～",350000,35598,17799,41004,20502,62220,31110
"25（22）",360000,350000,"～",370000,37692,18846,43416,21708,65880,32940
"26（23）",380000,370000,"～",395000,39786,19893,45828,22914,69540,34770
"27（24）",410000,395000,"～",425000,42927,21463.5,49446,24723,75030,37515
"28（25）",440000,425000,"～",455000,46068,23034,53064,26532,80520,40260
"29（26）",470000,455000,"～",485000,49209,24604.5,56682,28341,86010,43005
"30（27）",500000,485000,"～",515000,52350,26175,60300,30150,91500,45750
"31（28）",530000,515000,"～",545000,55491,27745.5,63918,31959,96990,48495
"32（29）",560000,545000,"～",575000,58632,29316,67536,33768,102480,51240
"33（30）",590000,575000,"～",605000,61773,30886.5,71154,35577,107970,53985
"34（31）",620000,605000,"～",635000,64914,32457,74772,37386,113460,56730
"35（32）",650000,635000,"～",665000,68055,34027.5,78390,39195,118950,59475
36,680000,665000,"～",695000,71196,35598,82008,41004,,
37,710000,695000,"～",730000,74337,37168.5,85626,42813,"※厚生年金基金に加入している方の",
38,750000,730000,"～",770000,78525,39262.5,90450,45225,"　 厚生年金保険料率は、基金ごとに",
39,790000,770000,"～",810000,82713,41356.5,95274,47637,"　 定められている免除保険料率",
40,830000,810000,"～",855000,86901,43450.5,100098,50049,"   （2.4％～5.0％）を控除した率となり",
41,880000,855000,"～",905000,92136,46068,106128,53064,"   ます。",
42,930000,905000,"～",955000,97371,48685.5,112158,56079,,
43,980000,955000,"～",1005000,102606,51303,118188,59094,"　 加入する基金ごとに異なりますの",
44,1030000,1005000,"～",1055000,107841,53920.5,124218,62109,"　 で、免除保険料率および厚生年金",
45,1090000,1055000,"～",1115000,114123,57061.5,131454,65727,"　 基金の掛金については、加入する",
46,1150000,1115000,"～",1175000,120405,60202.5,138690,69345,"　 厚生年金基金にお問い合わせ",
47,1210000,1175000,"～",1235000,126687,63343.5,145926,72963,"　 ください。",
48,1270000,1235000,"～",1295000,132969,66484.5,153162,76581,,
49,1330000,1295000,"～",1355000,139251,69625.5,160398,80199,,
50,1390000,1355000,"～",,145533,72766.5,167634,83817,,
,,,,,,,,,,
"◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（10.47%）に介護保険料率（1.59%）が加わります。",,,,,,,,,,
"◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。",,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　35（32）等級の「報酬月額」欄は、厚生年金保険の場合「635,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和7年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、320,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合",,,,,,,,,,
"　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。",,,,,,,,,,
"　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。",,,,,,,,,,
"　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。",,,,,,,,,,
,,,,,,,,,,
"  ○納入告知書の保険料額",,,,,,,,,,
"  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。",,,,,,,,,,
,,,,,,,,,,
"  ○賞与に係る保険料額",,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
"  　また、標準賞与額の上限は、健康保険は年間573万円（毎年4月1日から翌年3月31日までの累計額。）となり、厚生年金保険と子ども・子育て拠出金の場合は",,,,,,,,,,
"　　月間150万円となります。　",,,,,,,,,,
,,,,,,,,,,
"　○子ども・子育て拠出金",,,,,,,,,,
"　　事業主の方は、児童手当の支給に要する費用等の一部として、子ども・子育て拠出金を負担いただくことになります。（被保険者の負担はありません。）",,,,,,,,,,
